id,title,year,pagerank,cluster
W3018265077,Learning Representations by Predicting Bags of Visual Words,2020,0.0005145241576968258,5
W4313029666,StyTr<sup>2</sup>: Image Style Transfer with Transformers,2022,0.0005051218243205082,5
W2998207486,Interpretable Click-Through Rate Prediction through Hierarchical Attention,2020,0.0005048497383896718,5
W4200633401,TransZero: Attribute-Guided Transformer for Zero-Shot Learning,2022,0.0005046092209560415,5
W2899867883,Generative Dual Adversarial Network for Generalized Zero-Shot Learning,2019,0.0005044694551936336,5
W2955931418,EKT: Exercise-Aware Knowledge Tracing for Student Performance Prediction,2019,0.0005016796643619473,5
W4312791158,MSDN: Mutually Semantic Distillation Network for Zero-Shot Learning,2022,0.000500032854361912,5
W2788574423,Exercise-Enhanced Sequential Modeling for Student Performance Prediction,2018,0.0004985073218186976,5
W4312351187,DualPrompt: Complementary Prompting for Rehearsal-Free Continual Learning,2022,0.0004975796030966797,5
W3108381568,Joint Disentangling and Adaptation for Cross-Domain Person Re-Identification,2020,0.0004971927915422602,5
W3204330270,ICE: Inter-instance Contrastive Encoding for Unsupervised Person Re-identification,2021,0.0004952457247301842,5
W2959022568,Attribute-Driven Feature Disentangling and Temporal Aggregation for Video Person Re-Identification,2019,0.00048721094882471776,5
W3174086521,TabNet: Attentive Interpretable Tabular Learning,2021,0.00048581695995912003,5
W4386730038,LLM Based Generation of Item-Description for Recommendation System,2023,0.0004854453389115967,5
W4381786098,XSimGCL: Towards Extremely Simple Graph Contrastive Learning for Recommendation,2023,0.00048517148921479943,5
W3034364571,CKAN,2020,0.0004845774206700139,5
W2949655105,DAML: Dual Attention Mutual Learning between Ratings and Reviews for Item Recommendation,2019,0.0004773416217700308,5
W3113741750,Towards Topic-Guided Conversational Recommender System,2020,0.0004761770598437793,5
W3033235266,Cross-Modality Person Re-Identification via Modality-Aware Collaborative Ensemble Learning,2020,0.00047563936498446006,5
W2963669159,RepeatNet: A Repeat Aware Neural Recommendation Machine for Session-Based Recommendation,2019,0.00047021695704466663,5
W3176780013,VideoMoCo: Contrastive Video Representation Learning with Temporally Adversarial Examples,2021,0.0004689790255842113,5
W3166500718,AdCo: Adversarial Contrast for Efficient Learning of Unsupervised Representations from Self-Trained Negative Adversaries,2021,0.0004648963264236537,5
W2998167534,Where to Go Next: Modeling Long- and Short-Term User Preferences for Point-of-Interest Recommendation,2020,0.0004645296110741992,5
W3157752331,Review on self-supervised image recognition using deep neural networks,2021,0.0004627350652670893,5
